#Index RA DEC WINGS Cluster SB x0 y0 sma eps pa 
91 69.244156 -22.140053 J043658.60-220824.2 A500 20.398 1355.0 7882.0 10.0 0.283 78.1
92 69.46961 -22.13698 J043752.67-220813.1 A500 21.355 4877.0 7942.0 10.0 0.17699999 98.7
94 69.80885 -22.132385 J043914.11-220756.5 A500 19.359 10178.0 8022.0 10.0 0.09500003 16.3
95 69.63746 -22.135288 J043832.96-220807.1 A500 20.594 7500.0 7973.0 10.0 0.417 36.7
96 69.66194 -22.13406 J043838.84-220802.6 A500 20.499 7882.0 7994.0 10.0 0.306 61.7
97 69.45482 -22.06367 J043749.14-220349.1 A500 19.5 4644.0 9178.0 10.0 0.273 67.7
99 69.65551 -22.066572 J043837.31-220359.5 A500 20.099 7781.0 9132.0 10.0 0.594 68.7
100 70.07433 -22.054153 J044017.83-220314.9 A500 19.607 14329.0 9335.0 10.0 0.487 84.3
101 69.661606 -22.056973 J043838.78-220325.0 A500 17.802 7877.0 9294.0 10.0 0.04000002 97.7
102 69.757774 -22.056818 J043901.85-220324.3 A500 18.896 9380.0 9297.0 10.0 0.32200003 69.5
103 69.7799 -22.04923 J043907.15-220256.9 A500 18.808 9726.0 9425.0 10.0 0.20300001 93.9
104 69.766136 -22.064007 J043903.86-220350.1 A500 21.378 9511.0 9176.0 10.0 0.07200003 117.3
#106 69.61529 -22.05185 J043827.61-220306.8 A500 19.235 7153.0 9381.0 10.0 0.337 171.7
107 69.6263 -22.04964 J043830.28-220258.6 A500 19.026 7325.0 9418.0 10.0 0.589 154.5
110 69.73353 -22.047136 J043856.04-220249.5 A500 19.793 9001.0 9460.0 10.0 0.12400001 1.7
112 69.23116 -22.041914 J043655.48-220230.9 A500 20.37 1147.0 9537.0 10.0 0.522 130.7
113 70.214455 -22.024315 J044051.47-220127.5 A500 19.055 16521.0 9832.0 10.0 0.306 100.1
114 70.15119 -22.035837 J044036.28-220208.8 A500 21.248 15531.0 9641.0 10.0 0.51199996 73.8
115 69.86268 -22.037941 J043927.02-220216.4 A500 21.044 11020.0 9614.0 10.0 0.13999999 114.8
117 69.309494 -22.035217 J043714.27-220206.8 A500 21.366 2371.0 9654.0 10.0 0.18900001 67.7
120 69.94054 -22.03038 J043945.74-220149.4 A500 21.182 12238.0 9740.0 10.0 0.581 159.9
123 69.88572 -22.024601 J043932.55-220128.5 A500 21.433 11381.0 9839.0 10.0 0.16900003 131.6
124 69.39342 -22.00368 J043734.38-220013.1 A500 20.618 3682.0 10189.0 10.0 0.24599999 65.1
125 69.9181 -22.019266 J043940.34-220109.2 A500 20.779 11887.0 9928.0 10.0 0.533 20.5
126 69.86358 -22.013435 J043927.24-220048.3 A500 20.111 11035.0 10028.0 10.0 0.21899998 104.6
127 70.1638 -22.004934 J044039.31-220017.7 A500 21.351 15730.0 10161.0 10.0 0.27499998 155.7
129 69.75117 -21.985096 J043900.26-215906.3 A500 19.505 9277.0 10507.0 10.0 0.45 140.7
#132 69.82576 -21.963758 J043918.18-215749.5 A500 21.418 10444.0 10866.0 10.0 0.22600001 173.7
133 69.48106 -21.956774 J043755.42-215724.3 A500 18.653 5052.0 10982.0 10.0 0.324 1.1
137 70.195 -21.959255 J044046.79-215733.2 A500 21.024 16221.0 10930.0 10.0 0.399 175.8
139 70.048035 -21.943102 J044011.50-215635.9 A500 20.669 13922.0 11209.0 10.0 0.17400002 52.4
140 69.94423 -21.953749 J043946.61-215713.1 A500 20.692 12298.0 11033.0 10.0 0.37300003 19.8
141 69.82559 -21.939806 J043918.12-215623.3 A500 20.018 10442.0 11270.0 10.0 0.245 108.9
142 69.79761 -21.930927 J043911.41-215551.3 A500 20.101 10004.0 11420.0 10.0 0.32 42.1
143 70.20994 -21.926706 J044050.36-215536.1 A500 20.771 16456.0 11479.0 10.0 0.055999994 4.6
148 69.64809 -21.900276 J043835.50-215400.8 A500 21.231 7664.0 11937.0 10.0 0.556 154.3
149 70.167984 -21.885181 J044040.30-215306.7 A500 19.338 15802.0 12181.0 10.0 0.08499998 64.6
150 69.94832 -21.876913 J043947.57-215236.7 A500 18.873 12364.0 12329.0 10.0 0.42400002 91.1
152 69.89722 -21.877913 J043935.33-215240.5 A500 19.369 11564.0 12313.0 10.0 0.31699997 158.0
153 70.13642 -21.877213 J044032.72-215238.0 A500 21.062 15308.0 12317.0 10.0 0.25800002 85.3
154 70.053535 -21.821827 J044012.84-214918.5 A500 18.989 14013.0 13255.0 10.0 0.07999998 97.0
155 69.59337 -21.818335 J043822.41-214906.1 A500 19.732 6807.0 13319.0 10.0 0.13200003 111.8
156 70.169685 -21.826445 J044040.71-214935.1 A500 21.067 15831.0 13172.0 10.0 0.11400002 55.1
157 70.094154 -21.822924 J044022.59-214922.6 A500 19.893 14649.0 13235.0 10.0 0.07999998 92.5
158 70.2424 -21.826485 J044058.18-214935.3 A500 21.098 16970.0 13167.0 10.0 0.288 14.7
161 69.6242 -21.78641 J043829.81-214710.9 A500 20.421 7290.0 13858.0 10.0 0.06999999 20.2
162 69.793945 -21.794912 J043910.54-214741.6 A500 20.619 9948.0 13714.0 10.0 0.30699998 78.5
165 70.20276 -21.774239 J044048.65-214627.1 A500 19.446 16352.0 14051.0 10.0 0.21899998 59.3
169 70.228004 -21.755598 J044054.72-214520.1 A500 19.884 16749.0 14364.0 10.0 0.16000003 31.3
172 70.06564 -21.741287 J044015.75-214428.6 A500 20.231 14206.0 14613.0 10.0 0.31699997 144.9
173 69.76313 -21.744165 J043903.13-214438.8 A500 21.467 9466.0 14571.0 10.0 0.037 145.7
175 69.67019 -21.624207 J043840.84-213727.1 A500 21.341 8009.0 16594.0 10.0 0.343 12.5
176 69.74363 -21.722584 J043858.46-214321.3 A500 20.174 9160.0 14935.0 10.0 0.04100001 127.5
177 69.59698 -21.732264 J043823.27-214356.2 A500 19.658 6863.0 14771.0 10.0 0.10100001 125.2
179 70.0904 -21.721249 J044021.70-214316.5 A500 19.061 14594.0 14950.0 10.0 0.426 104.4
180 69.90695 -21.675442 J043937.69-214031.3 A500 20.927 11721.0 15728.0 10.0 0.319 48.6
181 69.26174 -21.700968 J043702.81-214203.5 A500 21.291 1608.0 15290.0 10.0 0.10699999 125.4
183 70.069565 -21.707933 J044016.69-214228.6 A500 19.678 14269.0 15175.0 10.0 0.526 126.4
186 70.21702 -21.63997 J044052.08-213823.9 A500 19.18 16583.0 16315.0 10.0 0.25 93.4
